title,URL,total_time,description,ingredients,instructions,calories,serves
Easy Chinese Corn Soup,https://www.allrecipes.com/recipe/29704/easy-chinese-corn-soup/,15,This quick and satisfying Chinese corn soup is delicious and simple enough to make at home anytime for an easy lunch or dinner in just 15 minutes.,"['15 ounce can cream style corn', '14.5 ounce can low-sodium chicken broth', '1 tablespoon cornstarch', '2 tablespoons water', '1 large egg, beaten']","['Combine corn and chicken broth in a saucepan. Bring to a boil over medium-high heat.', 'Mix together cornstarch and water in a small bowl or cup; pour into the boiling corn soup, and continue cooking for about 2 minutes, or until thickened.', 'Gradually add beaten egg while stirring the soup. Remove from heat and serve.']",121 kcal,4 servings
Wonton Soup,https://www.allrecipes.com/recipe/13199/wonton-soup/,65,This delicious wonton soup recipe features homemade dumplings filled with seasoned pork floating in a gingery chicken broth with chopped scallions.,"['0.5 pound boneless pork loin, coarsely chopped', '2 ounces peeled shrimp (finely chopped)', '1 tablespoon Chinese rice wine', '1 tablespoon light soy sauce', '1 teaspoon brown sugar', '1 teaspoon finely chopped green onions', '1 teaspoon chopped fresh ginger root', '24 (3.5 inch square) wonton wrappers', '3 cups chicken stock', '2 tablespoons finely chopped green onions']","['Make the wontons: Mix pork, shrimp, rice wine, soy sauce, brown sugar, green onions, and ginger together in a large bowl until well combined. Let stand for 25 to 30 minutes.', 'Spoon about 1 teaspoon filling onto the center of a wonton wrapper. Moisten all four wrapper edges with water and fold over filling to make a triangle; press the edges firmly to seal. Bring left and right corners together above filling; overlap the tips of these corners, moisten with water, and press together to seal. Repeat until all wrappers have been filled and sealed.', 'Make the soup: Bring chicken stock to a rolling boil in a pot. Gently drop in wontons and cook for 5 minutes.', 'Ladle into bowls and garnish with green onions.']",195 kcal,6 servings
Chinese Pepper Steak,https://www.allrecipes.com/recipe/172704/chinese-pepper-steak/,30,"This easy and delicious pepper steak recipe combines top sirloin beef with a sweet-and-savory soy sauce marinade, green pepper, onion, and tomatoes.","['1 pound beef top sirloin steak', '0.25 cup soy sauce', '2 tablespoons white sugar', '2 tablespoons cornstarch', '0.5 teaspoon ground ginger', '3 tablespoons vegetable oil (divided)', '1 red onion, cut into 1-inch squares', '1 green bell pepper, cut into 1-inch squares', '2 tomatoes, cut into wedges']","['Slice steak into 1/2-inch thick slices across the grain.', 'Whisk together soy sauce, sugar, cornstarch, and ginger in a bowl until the sugar has dissolved and the mixture is smooth. Place steak slices into the marinade, and stir until well-coated.', 'Heat 1 tablespoon vegetable oil in a wok or large skillet over medium-high heat, and cook steak strips in batches in hot oil so as not to crowd the pan. Cook and stir until well-browned, about 3 minutes, and remove steak from the wok to a bowl. Repeat with remaining steak, adding more oil as needed, and set the cooked meat aside.', 'Return cooked steak strips to the hot wok, and stir in onion. Toss steak and onion together until onion begins to soften, about 2 minutes, then stir in green pepper.', 'Cook and stir the mixture until peppers have turned bright green and started to become tender, about 2 minutes more, then add tomatoes.', 'Stir everything together to mix and blend flavors, and serve.']",312 kcal,4 servings
Authentic Chinese Egg Rolls (from a Chinese person),https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/,150,Chinese egg rolls that are easy and delicious with lots of rich flavor. You can't get much more authentic than this 300 year-old family recipe.,"['4 teaspoons vegetable oil (divided)', '3 large eggs, beaten', '1 medium head cabbage, finely shredded', '0.5 carrot, julienned', '1 pound Chinese barbequed or roasted pork, cut into matchsticks', '8 ounce can shredded bamboo shoots', '1 cup dried and shredded wood ear mushroom then rehydrated', '2 green onions (thinly sliced)', '2.5 teaspoons soy sauce', '1 teaspoon salt', '1 teaspoon sugar', '0.5 teaspoon monosodium glutamate (MSG)', '14 ounce package egg roll wrappers', '1 egg white, beaten', '4 cups oil for frying (or as needed)']","['Heat 1 teaspoon vegetable oil in a wok or large skillet over medium heat. Pour in beaten eggs and cook, without stirring, until firmed up. Flip eggs over and cook for an additional 20 seconds to firm the other side. Set egg pancake aside to cool, then slice into thin strips.', 'Heat remaining vegetable oil in a wok or large skillet over high heat. Stir in cabbage and carrot; cook for 2 minutes to wilt. Add pork, bamboo shoots, mushroom, green onions, soy sauce, salt, sugar, and MSG; continue cooking until vegetables soften, about 6 minutes. Stir in sliced egg, then spread the mixture out onto a pan, and refrigerate until cold, about 1 hour.', 'To assemble the egg rolls: Place a wrapper onto your work surface with one corner pointing towards you. Place about 3 tablespoons of cooled filling in a heap onto the bottom third of the wrapper. Brush a little beaten egg white onto the top two edges of the wrapper, then fold the bottom corner over the filling and roll firmly to the halfway point. Fold the left and right sides snugly over the egg roll, then continue rolling until the top corners seal the egg roll with the egg white. Repeat with remaining egg roll wrappers, covering finished egg rolls with plastic wrap to keep from drying out.', 'Heat about 6 inches of oil in a wok or deep-fryer to 350 degrees F (175 degrees C).', 'Fry egg rolls 3 or 4 at a time until golden brown, 5 to 7 minutes. Drain on paper towels.']",169 kcal,20 servings
General Tao Chicken,https://www.allrecipes.com/recipe/146579/general-tao-chicken/,50,"This General Tao chicken features pan-fried chicken bites coated in a sweet, tangy sauce made with oyster sauce, green onion, soy sauce, and ketchup.","['2 pounds skinless, boneless chicken breast halves - cut into bite-size pieces', '0.25 cup cornstarch', '2 large eggs', '1 teaspoon salt', '0.5 teaspoon ground black pepper', '6 tablespoons all-purpose flour', '1 teaspoon baking powder', '0.5 cup vegetable oil', '0.5 cup chopped green onion', '2 tablespoons grated fresh ginger root', '4 teaspoons sesame oil', '0.5 cup water', '0.5 cup white sugar', '0.25 cup distilled white vinegar', '2 tablespoons cornstarch', '2 tablespoons soy sauce', '0.25 cup oyster sauce', '0.25 cup ketchup']","['Coat chicken pieces with cornstarch in a bowl; set aside.', 'Beat eggs, salt, and pepper in a mixing bowl until combined. Stir in flour and baking powder until no large lumps remain. Mix in chicken pieces until evenly coated.', 'Heat vegetable oil in a large skillet or wok over high heat. Cook chicken in hot oil until golden brown and no longer pink on the inside, about 12 minutes. Set chicken aside; keep warm.', 'Make sauce: Reduce heat to medium-high; add green onion, ginger, and sesame oil to the skillet. Cook and stir until onion is limp and ginger begins to brown, about 1 minute. Pour in water, sugar, and vinegar; bring to a boil.', 'Dissolve cornstarch in soy sauce in a small bowl and stir into vinegar mixture along with oyster sauce and ketchup. Cook until sauce has thickened and is no longer cloudy. Stir in chicken; simmer until heated through.']",522 kcal,6 servings
Restaurant Style Egg Drop Soup,https://www.allrecipes.com/recipe/45515/restaurant-style-egg-drop-soup/,20,This chicken egg drop soup is simple to make with basic ingredients. It's flavored with ginger and chives for a Chinese restaurant-style appetizer.,"['4 cups chicken broth (divided)', '2 tablespoons chopped fresh chives', '0.25 teaspoon salt', '0.125 teaspoon ground ginger', '1.5 tablespoons cornstarch', '2 eggs', '1 egg yolk']","['Reserve 3/4 cup of chicken broth, and pour the rest into a large saucepan. Stir in chives, salt, and ginger; bring to a rolling boil. Stir reserved 3/4 cup of broth and cornstarch until smooth. Set aside.', 'Whisk eggs and egg yolk together in a small bowl with a fork. Using a fork, drizzle eggs, a little at a time, into boiling broth. Eggs will cook immediately. Stir in cornstarch mixture gradually until soup reaches desired consistency.']",76 kcal,4 servings
Chinese Chicken Wings,https://www.allrecipes.com/recipe/214464/chinese-chicken-wings/,550,"These Chinese chicken wings are marinated overnight in a mixture of soy sauce, brown sugar, and garlic powder, then oven-baked until hot and crisp.","['2 cups soy sauce', '2 cups brown sugar', '2 tablespoons garlic powder', '5 pounds chicken wings (split and tips discarded)']","['Stir together soy sauce, brown sugar, and garlic powder in a saucepan over medium heat. Cook and stir until sugar has dissolved. Remove from heat and allow to cool.', 'Place chicken wings in a large bowl. Pour soy sauce mixture over wings and toss to coat evenly. Cover the bowl with plastic wrap. Allow chicken to marinate in the refrigerator for 8 hours to overnight.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Pour chicken wings and marinade into a 9x13-inch baking dish. Cover the baking dish with aluminum foil.', 'Bake in the preheated oven until thoroughly hot, about 45 minutes. Remove foil and bake for 15 more minutes. Serve hot.']",256 kcal,12 servings
Moo Shu Chicken,https://www.allrecipes.com/recipe/273598/moo-shu-chicken/,50,"This moo shu chicken dish combines sliced chicken with an umami-rich sauce, shredded cabbage, and shiitake mushrooms. Skip eating out and try this at home!","['6 tablespoons cold water (divided)', '3 teaspoons sesame oil (divided)', '2 teaspoons cornstarch', '1 pound chicken breast tenderloins, cut into thin strips', '2 tablespoons hoisin sauce', '2 tablespoons oyster sauce', '2 teaspoons soy sauce', '2 teaspoons vegetable oil (divided)', '2 large eggs, beaten', '3 cups shredded cabbage or coleslaw mix', '4 ounce can sliced shiitake mushrooms (drained)', '2 cloves garlic, minced', '1 tablespoon sherry', '3 green onions (chopped)']","['Whisk 2 tablespoons water, 2 teaspoons sesame oil, and cornstarch together in a large bowl. Add chicken, toss to coat, and set aside.', 'Combine remaining 4 tablespoons water and 1 teaspoon sesame oil in a separate bowl. Whisk in hoisin sauce, oyster sauce, and soy sauce until well combined; set sauce aside.', 'Heat 1 teaspoon oil in a skillet over medium heat. Add eggs and cook for 3 minutes; flip and cook until firm and set, about 3 minutes more. Transfer to a cutting board and slice into thin strips.', 'Add marinated chicken to the skillet and cook over medium-high heat for 6 minutes. Flip and cook until golden brown on the outside and the juices run clear, about 6 minutes more; transfer to a plate.', 'Heat remaining 1 teaspoon oil in the skillet over medium-high heat. Add cabbage, shiitake mushrooms, garlic, and sherry; cook until cabbage starts to wilt, about 2 minutes. Add chicken (sliced) egg, and reserved sauce to the skillet; cook, stirring occasionally, until sauce has thickened, about 5 minutes. Toss in green onions and serve immediately.']",319 kcal,4 servings
"Velveting Chicken Breast, Chinese Restaurant Style",https://www.allrecipes.com/recipe/261452/velveting-chicken-breast-chinese-restaurant-style/,50,"This velveting chicken recipe uses a Chinese technique that parboils chicken marinated in egg white, vinegar, and cornstarch for smooth, silken meat.","['1 large egg white', '1 tablespoon Chinese rice vinegar', '1 tablespoon cornstarch', '1 teaspoon kosher salt', '1 pound skinless, boneless chicken breast (thinly sliced)', '8 cups water', '1 tablespoon peanut oil']","['Whisk together egg white, vinegar, cornstarch, and salt in a large bowl until smooth. Add sliced chicken; mix to coat thoroughly. Cover with plastic wrap and marinate in the refrigerator for 30 minutes.', 'Bring water and oil to a boil in a pot over high heat. Reduce heat to medium.', 'Remove chicken from the marinade and shake off excess; discard remaining marinade. Add chicken to boiling water and cook until just white on the outside but not completely cooked through, about 1 minute.', 'Drain chicken and finish cooking in a hot oiled wok or skillet until no longer pink in the center and the juices run clear, or store parboiled chicken in the refrigerator in a sealed container until ready to use, up to a few hours.']",156 kcal,4 servings
Crispy Ginger Beef,https://www.allrecipes.com/recipe/237807/crispy-ginger-beef/,45,"Ginger beef, a takeout favorite, is even better made at home. Beef strips are wok-fried with a crispy coating, veggies, and a sweet dark sauce.","['0.75 cup cornstarch', '0.5 cup water', '2 large eggs', '1 pound flank steak, cut into thin strips', '0.5 cup canola oil (or as needed)', '1 large carrot, cut into matchstick-size pieces', '1 green bell pepper, cut into matchstick-size pieces', '1 red bell pepper, cut into matchstick-size pieces', '3 green onions (chopped)', '0.25 cup minced fresh ginger root', '5 garlic cloves, minced', '0.5 cup white sugar', '0.25 cup rice vinegar', '3 tablespoons soy sauce', '1 tablespoon sesame oil', '1 tablespoon red pepper flakes']","['Place cornstarch in a large bowl; gradually whisk in water until smooth. Whisk eggs into cornstarch mixture; toss steak strips in mixture to coat.', 'Pour canola oil into a wok, 1-inch deep; heat oil over high heat until hot but not smoking. Place 1/4 of the beef strips into hot oil; separate strips with a fork. Cook, stirring frequently, until coating is crisp and golden, about 3 minutes. Remove beef to drain on paper towels; repeat with remaining beef.', 'Drain off all but 1 tablespoon oil; cook and stir carrot, bell peppers, green onions, ginger, and garlic over high heat until lightly browned but still crisp, about 3 minutes.', 'Whisk sugar, rice vinegar, soy sauce, sesame oil, and red pepper flakes together in a small bowl. Pour sauce mixture over vegetables in wok; bring mixture to a boil. Stir beef back into vegetable mixture; cook and stir just until heated through, about 3 minutes.']",364 kcal,5 servings
Easy Chinese Fried Noodles,https://www.allrecipes.com/recipe/34668/chinese-fried-noodles/,40,These fried noodles flavored with sesame and soy sauce are a quick and easy stir-fry using ramen and any variety of your favorite veggies or meats.,"['3 ounce packages soy sauce-flavored ramen noodles with seasoning packets', '2 tablespoons vegetable oil (divided)', '3 large eggs, beaten', '2 teaspoons vegetable oil (divided)', '4 green onions (thinly sliced)', '1 small carrot (peeled and grated)', '0.5 cup green peas', '0.25 cup red bell pepper, minced', '2 tablespoons sesame oil', '1 teaspoon sesame oil', '1 teaspoon soy sauce']","['Bring a medium pot of water to a boil. Cook ramen noodles, reserving seasoning packets, in boiling water until softened, about 3 minutes. Drain noodles and set aside.', 'Heat 1 tablespoon vegetable oil in a small skillet. Cook and stir beaten eggs in hot oil until scrambled and firm. Set aside.', 'Heat 1 teaspoon vegetable oil in a large skillet over medium heat. Cook and stir green onions in hot oil until softened, 2 to 3 minutes. Remove green onions to a plate; set aside.', 'Heat remaining 1 teaspoon vegetable oil in the same skillet over medium heat. Cook and stir carrots, peas, and bell pepper separately until softened, removing each to the plate with green onions when done.', 'Combine 2 tablespoons sesame oil with remaining 1 tablespoon vegetable oil in the same large skillet or a wok over medium heat. Fry cooked noodles in hot sesame-vegetable oil, tossing frequently, until golden, 3 to 5 minutes. Season with desired amounts of sesame oil, soy sauce, and reserved ramen seasoning packets; toss to coat. Stir in cooked vegetables, tossing frequently, until heated through, about 5 more minutes.']",161 kcal,6 servings
Chinese Black Bean Sauce,https://www.allrecipes.com/recipe/282584/chinese-black-bean-sauce/,35,This spicy black bean sauce recipe with fermented black beans helps you make one of the most popular stir-fry sauces on a Chinese food menu at home.,"['8 ounces dried fermented black beans', '1.5 cups vegetable oil', '4 Thai chiles (chopped)', '1 medium shallot, minced', '2 inch piece fresh ginger (peeled and grated', '3 cloves garlic, minced', '3 tablespoons reduced-sodium tamari', '2 tablespoons Shaoxing rice wine', '1 teaspoon brown sugar', '0.5 teaspoon ground Sichuan pepper', '0.5 teaspoon Chinese five-spice powder', '1 teaspoon sesame oil']","['Rinse black beans thoroughly and dry. Remove about 1/4 cup and set aside. Roughly chop the rest of the beans.', 'Heat vegetable oil in a large saucepan over medium-low heat. Add chiles, shallot, ginger, and garlic. Fry until soft and fragrant, about 5 minutes. Do not let the ingredients burn. Reduce the heat if necessary. The objective is to slow cook the ingredients.', 'Add all the beans; both chopped and whole. Simmer, stirring often, until the beans are soft, about 2 minutes. Add tamari, rice wine, brown sugar, ground Sichuan pepper, and five spice. Simmer until thickened, stirring often. Remove from heat; let cool, about 10 minutes.', 'Mix in sesame oil and cover. As the sauce rests, the beans will settle and the oil will float, creating a barrier which will protect it from mold. The sauce is ready to use or store in an airtight container in the refrigerator for up to 1 month.']",211 kcal,15 servings
Chinese Chicken Fried Rice,https://www.allrecipes.com/recipe/16954/chinese-chicken-fried-rice-ii/,15,"This chicken fried rice recipe is easy to make with cooked chicken, leftover rice, shredded scrambled egg, and soy sauce for an incredibly tasty meal!","['1 egg', '1 tablespoon water', '1 tablespoon butter', '1 tablespoon vegetable oil', '1 onion (chopped)', '2 cups cooked white rice, cold', '1 cup cooked (chopped) chicken meat', '2 tablespoons soy sauce', '1 teaspoon ground black pepper']","['Beat egg and water together in small bowl. Melt butter in a large skillet or wok over medium-low heat; add egg and cook without stirring, 1 to 2 minutes. Remove egg from skillet and cut into shreds; set aside.', 'Heat oil in the same skillet. Add onion; cook and stir until soft, about 3 minutes. Stir in rice, chicken, soy sauce, and pepper. Cook and stir for about 5 minutes; stir in shredded egg. Serve hot.']",255 kcal,4 servings
Spicy Szechuan Green Beans,https://www.allrecipes.com/recipe/247349/spicy-szechuan-green-beans/,25,These Szechuan green beans get their spicy kick from red pepper flakes and freshly minced ginger in this flavorsome version of Chinese green beans.,"['0.5 pound green beans (trimmed and cut into 1-inch pieces)', '0.25 cup water', '1 tablespoon minced ginger', '2 cloves garlic, minced', '1 teaspoon sesame oil', '2 tablespoons soy sauce', '1 tablespoon rice vinegar', '0.5 teaspoon white sugar', '0.25 teaspoon red pepper flakes']","['Combine green beans and water in a skillet over medium-high heat. Cover and cook, stirring occasionally, until beans are tender-crisp, 4 to 5 minutes. Add ginger, garlic, and sesame oil; cook, stirring frequently, until garlic is fragrant and golden brown, 1 to 2 minutes.', 'Mix soy sauce, rice vinegar, sugar, and red pepper flakes together in a small bowl. Pour over beans and cook until sauce thickens enough to coat beans, 3 to 5 minutes.']",73 kcal,2 servings
Quick Chinese-Style Vermicelli (Rice Noodles),https://www.allrecipes.com/recipe/41761/quick-chinese-style-vermicelli-rice-noodles/,15,"Rice vermicelli are quick-cooking rice noodles. In this recipe, they get jazzed up with a spicy soy sauce glaze for a quick and delicious side dish.","['8 ounce package dried rice noodles', '2 tablespoons vegetable oil', '1 clove garlic, minced', '1 tablespoon soy sauce', '0.5 tablespoon chili sauce', 'some pinched of salt and pepper', '1 green onion (chopped)']","['Fill a large pot with water and bring to a rolling boil; stir in rice noodles and return to a boil. Cook until al dente, 2 to 3 minutes; try not to overcook as they will become mushy. Drain.', 'Heat oil in a large skillet over medium heat. Add garlic and sauté until tender. Stir in noodles; season with soy sauce, chili sauce, salt, and pepper. Sprinkle with chopped green onion.']",271 kcal,4 servings
Daddy's Shrimp Toast,https://www.allrecipes.com/recipe/25870/daddys-shrimp-toast/,50,Try this shrimp toast recipe for a special appetizer. Slices of bread topped with a seasoned shrimp and crab paste are pan-fried until crispy and golden.,"['1 pound fresh shrimp (peeled), deveined and finely minced', '0.5 medium yellow onion, minced', '0.5 cup finely chopped water chestnuts', '0.5 cup finely chopped celery', '1 green onion (finely chopped)', '0.5 cup cooked crabmeat', '1 large egg, beaten', '1.5 tablespoons chopped fresh parsley', '1 teaspoon sesame oil', '1 teaspoon minced garlic', '5 drops soy sauce', 'salt and ground black pepper to taste', '0.25 cup soy sauce', '3 tablespoons chopped fresh parsley', '1 tablespoon water', '1 teaspoon sesame oil', '1 teaspoon white sugar', '0.25 teaspoon garlic powder', '2 cups oil for frying', '8 thick slices white bread']","['Gather all ingredients.', 'Make the shrimp paste: Mix shrimp, onion, water chestnuts, celery, and green onion together in a mixing bowl. Stir in crabmeat, egg, parsley, sesame oil, garlic, soy sauce, salt, and pepper.', 'Make the dipping sauce: Whisk soy sauce, parsley, water, sesame oil, sugar, and garlic powder together in a small bowl.', 'Make the toast: Heat 1/2 inch oil in a large, heavy skillet over medium heat.', 'Spread each slice bread with a thick layer of shrimp paste, pressing gently so it sticks to bread.', 'Working in batches, fry bread, paste-side down, in hot oil until golden and shrimp is pink, 2 to 3 minutes. Flip carefully and cook until bread is golden brown, about 1 minute. Drain on paper towels.', 'Slice shrimp toasts diagonally and serve with dipping sauce.']",666 kcal,8 servings
Bang Bang Chicken,https://www.allrecipes.com/recipe/273785/bang-bang-chicken/,40,"This bang bang chicken features crisp chicken bites coated in potato starch and flour, twice-fried until crispy, and tossed in a sweet and spicy mayo.","['0.35 cup milk', '1 large egg', '1 pound boneless, skinless chicken breasts (cut into 1-inch cubes)', '0.25 cup potato starch', '0.25 cup all-purpose flour', '0.5 teaspoon salt', '0.25 teaspoon ground black pepper', '0.25 teaspoon shichimi togarashi (Japanese red pepper condiment)', '2 cups oil for frying (or as needed)', '0.25 cup mayonnaise', '2 tablespoons honey', '2 tablespoons sweet chili sauce', '1 teaspoon gochujang (Korean hot pepper paste)']","['Whisk together milk and egg in a large bowl until well combined. Add chicken; stir to coat and allow to marinate for 15 minutes. Drain and discard egg mixture.', 'Combine potato starch, flour, salt, pepper, and shichimi in a medium bowl. Pour into a large plastic resealable bag. Add chicken; seal the bag and shake until chicken is well coated.', 'Heat 2 inches oil in a deep saucepan over medium heat to 325 degrees F (165 degrees C).', 'Working in batches of about 5 to 8 pieces at a time, cook chicken in hot oil for about 90 seconds. Remove to a paper towel-lined plate; keep each batch separate.', 'Increase oil temperature to 350 degrees F (175 degrees C). The oil should be continuously boiling at this point. Carefully re-add the first batch of chicken and fry for another 90 seconds. Remove to another paper towel-lined plate. Repeat with remaining batches of chicken.', 'Mix together mayonnaise, honey, sweet chili sauce, and gochujang in a large serving bowl until combined. Toss fried chicken with sauce to coat.']",404 kcal,4 servings
Shrimp with Lobster Sauce,https://www.allrecipes.com/recipe/57716/shrimp-with-lobster-sauce/,25,"Make shrimp with lobster sauce at home with stir-fried shrimp and pork in a sweet and salty sauce made with soy, sugar, and egg. That's right, no lobster!","['1.5 teaspoons cornstarch', '2 teaspoons cooking sherry', '1 pound medium shrimp (peeled and deveined)', '0.25 cup vegetable oil', '2 cloves garlic, minced', '0.25 pound ground pork', '1 cup water', '2 tablespoons soy sauce', '0.25 teaspoon sugar', '0.5 teaspoon salt', '0.25 cup cold water', '1.5 tablespoons cornstarch', '1 large egg, beaten']","['Dissolve 1.5 teaspoons cornstarch in sherry in a medium bowl. Add shrimp and toss to coat.', 'Heat oil in a wok over medium-high heat. Add shrimp and stir-fry until pink, 3 to 5 minutes. Use a slotted spoon to transfer shrimp to a plate; leave as much oil in the wok as possible.', 'Add garlic to the wok and stir-fry for a few seconds, then add ground pork. Stir-fry until pork is no longer pink, 3 to 5 minutes.', 'Mix 1 cup water, soy sauce, sugar, and salt together in a small bowl; pour into the wok and stir to combine. Bring to a boil, then cover, reduce the heat to medium, and simmer for about 2 minutes.', 'Whisk 1/4 cup cold water and 1.5 tablespoons cornstarch together in a small bowl; pour into the wok. Add shrimp and bring to a simmer. Drizzle beaten egg into the wok, stirring quickly as it cooks. Serve immediately.']",308 kcal,4 servings
Pork Lo Mein,https://www.allrecipes.com/recipe/231523/pork-lo-mein/,30,"This pork lo mein recipe features thinly sliced pork tenderloin, vegetables, and linguine noodles drenched in a delicious ginger-sesame-soy- sauce.","['8 ounce package linguine', '0.35 cup low-sodium soy sauce', '2 tablespoons rice vinegar', '2 teaspoons cornstarch', '1 teaspoon white sugar', '0.5 teaspoon sesame oil', '2 tablespoons canola oil', '2 cups snap peas', '1 small sweet onion (chopped)', '12 ounce pork tenderloin, cut into thin strips', '8 ounce package sliced white mushrooms', '1 medium red bell pepper (chopped)', '3 cloves garlic (chopped) (divided)', '0.5 teaspoon chopped fresh ginger', '3 green onions (sliced)']","['Bring a large pot of lightly salted water to a boil; cook the linguine at a boil until tender yet firm to the bite, 8 to 9 minutes; drain.', 'Meanwhile, whisk soy sauce, vinegar, cornstarch, sugar, and sesame oil together in a small bowl.', 'Heat canola oil in a large skillet over medium-high heat. Add snap peas and onion; cook and stir until onion is translucent, about 2 minutes. Add pork, mushrooms, red bell pepper, 1/3 of the garlic, and ginger; cook until pork is no longer pink, about 2 minutes.', 'Add remaining garlic to the skillet and cook until fragrant, about 1 minute. Pour in soy sauce mixture; cook and stir until sauce thickens, about 1 minute. Remove from the heat.', 'Stir linguine into the skillet until coated; sprinkle green onions over top.']",415 kcal,4 servings
Moo Goo Gai Pan,https://www.allrecipes.com/recipe/165846/moo-goo-gai-pan/,35,"Moo goo gai pan is an Americanized version of a Cantonese dish featuring chicken, mushrooms, and water chestnuts tossed in a savory white sauce.","['2 tablespoons vegetable oil (divided)', '2 cups chopped broccoli florets', '1 cup sliced fresh mushrooms', '15 ounce can whole straw mushrooms (drained)', '8 ounce can sliced bamboo shoots (drained)', '8 ounce can sliced water chestnuts (drained)', '2 cloves garlic, minced', '1 pound skinless, boneless chicken breast, cut into strips', '0.25 cup chicken broth', '1 tablespoon cornstarch', '1 tablespoon white sugar', '1 tablespoon soy sauce', '1 tablespoon oyster sauce', '1 tablespoon rice wine']","['Heat 1 tablespoon oil in a wok over high heat until it begins to smoke. Stir in broccoli and fresh mushrooms, then add straw mushrooms, bamboo shoots, and water chestnuts. Stir-fry until broccoli is tender and all vegetables are hot, about 5 minutes. Transfer to a bowl and wipe out the wok.', 'Heat remaining 1 tablespoon oil in the wok over high heat until it begins to smoke. Add garlic and stir-fry until it turns golden, a few seconds. Add chicken and stir-fry until browned on the edges and no longer pink in the center, about 5 minutes.', 'Stir broth, cornstarch, sugar, soy sauce, oyster sauce, and rice wine together in a small bowl; pour over chicken in the wok and bring to a boil, stirring constantly. Boil until sauce thickens and is no longer cloudy, about 30 seconds. Return vegetables to the wok; toss with sauce and cook until heated through, about 1 minute.']",307 kcal,4 servings
Szechwan Shrimp,https://www.allrecipes.com/recipe/86230/szechwan-shrimp/,15,Szechuan shrimp is easy to make by warming cooked shrimp in a thick and spicy sauce with green onion. Simply delicious served over hot rice.,"['4 tablespoons water', '2 tablespoons ketchup', '1 tablespoon soy sauce', '2 teaspoons cornstarch', '1 teaspoon honey', '0.5 teaspoon crushed red pepper', '0.25 teaspoon ground ginger', '1 tablespoon vegetable oil', '0.25 cup sliced green onions', '4 cloves garlic, minced', '12 ounces cooked shrimp (tails removed)']","['Stir together water, ketchup, soy sauce, cornstarch, honey, crushed red pepper, and ground ginger in a small bowl until combined. Set aside.', 'Heat oil in a large skillet over medium-high heat. Cook and stir green onions and garlic in hot oil until fragrant, about 30 seconds. Stir in cooked shrimp; toss to coat with oil. Pour in ketchup mixture. Cook and stir until sauce is bubbly and thickened.']",142 kcal,4 servings
Chinese Broccoli,https://www.allrecipes.com/recipe/128750/chinese-broccoli/,20,"This Chinese broccoli recipe features crisp-tender gai lan coated in a sweet sauce flavored with ginger, hoisin, rice vinegar, garlic, and sesame.","['1 bunch Gai Lan (Chinese broccoli), trimmed', '3 tablespoons hoisin sauce', '2 tablespoons white sugar', '2 tablespoons soy sauce', '1 tablespoon cornstarch', '1 tablespoon rice vinegar', '1 tablespoon sesame oil', '2 cloves garlic, minced', '1 teaspoon minced fresh ginger root']","['Bring a large pot of lightly salted water to a boil. Cook Chinese broccoli in boiling water, uncovered, until just tender, about 4 minutes. Drain and place in a shallow bowl.', 'Whisk together hoisin sauce, sugar, soy sauce, cornstarch, rice vinegar, sesame oil, garlic, and ginger in a small saucepan over medium heat until sauce is thickened and no longer cloudy, 5 to 7 minutes. Pour sauce over broccoli; toss to coat and serve.']",130 kcal,4 servings
Taiwanese Popcorn Chicken,https://www.allrecipes.com/recipe/263930/popcorn-chicken-taiwanese/,55,Taiwanese popcorn chicken is a popular street snack in Taiwan featuring savory bites of chicken coated in spices and fried in a crispy tempura batter.,"['1.5 pounds boneless chicken thighs, cut into bite-size pieces', '2 cloves garlic (finely chopped)', '1 tablespoon soy sauce', '2 teaspoons grated ginger', '1 teaspoon five-spice powder', '1 teaspoon ground white pepper', '1 teaspoon salt', '0.5 teaspoon rice vinegar', '0.5 teaspoon cayenne pepper', '1 large egg', '1 cup tempura batter mix then dry (or as needed)', '2 cups peanut oil for frying (or as needed)', '1 bunch Thai basil (chopped)', '2 green onions (chopped)']","['Mix chicken, garlic, soy sauce, ginger, five-spice powder, white pepper, salt, vinegar, and cayenne pepper together in a large bowl until well combined. Let marinate for 10 minutes.', 'Heat oil in a deep-fryer or large saucepan to 400 degrees F (200 degrees C).', 'Whisk egg in a small bowl until smooth. Place dry tempura mix into a second small bowl. Dip chicken pieces one at a time into egg, then dredge in tempura mix, shaking off any excess.', 'Working in batches, lower chicken carefully into hot oil and fry until golden brown, 5 to 8 minutes. Transfer to a paper towel-lined plate to drain and season with salt and pepper.', 'Transfer chicken to a platter and garnish with basil leaves and green onions.']",940 kcal,6 servings
